ticker
CRWG
RKLX
CRWV
NBIS
MUU
CRDO
PLTU
NVDU
BULZ
TECL
AVL
HIBL
SPYU
SHPU
FNGG
QTUM
ARMG
ARM
TSLL
GGLL
MSFU
AAPU
FBL
AMZU
FNGU
SOXL
ORCX
AAPL
MSFT
GOOGL
AMZN
TSLA
META
NVDA
ORCL
ARM
SHOP
NFLX
COIN
NAIL
SSO
UPRO
TNA
MIDU
DDM
MU
AVGO
COST
LB
TPL
